Airline,Day of Week,CANCELLED
Virgin America,SATURDAY,0
US Airways Inc.,SATURDAY,10
United Air Lines Inc.,SATURDAY,18
Spirit Air Lines,SATURDAY,14
Southwest Airlines Co.,SATURDAY,112
Skywest Airlines Inc.,SATURDAY,42
JetBlue Airways,SATURDAY,25
Hawaiian Airlines Inc.,SATURDAY,2
Frontier Airlines Inc.,SATURDAY,4
Delta Air Lines Inc.,SATURDAY,10
Atlantic Southeast Airlines,SATURDAY,55
American Eagle Airlines Inc.,SATURDAY,67
American Airlines Inc.,SATURDAY,57
Alaska Airlines Inc.,SATURDAY,3
Virgin America,FRIDAY,2
US Airways Inc.,FRIDAY,14
United Air Lines Inc.,FRIDAY,34
Spirit Air Lines,FRIDAY,9
Southwest Airlines Co.,FRIDAY,61
Skywest Airlines Inc.,FRIDAY,56
JetBlue Airways,FRIDAY,14
Hawaiian Airlines Inc.,FRIDAY,2
Frontier Airlines Inc.,FRIDAY,0
Delta Air Lines Inc.,FRIDAY,18
Atlantic Southeast Airlines,FRIDAY,62
American Eagle Airlines Inc.,FRIDAY,61
American Airlines Inc.,FRIDAY,45
Alaska Airlines Inc.,FRIDAY,1
Virgin America,THURSDAY,3
US Airways Inc.,THURSDAY,24
United Air Lines Inc.,THURSDAY,55
Spirit Air Lines,THURSDAY,13
Southwest Airlines Co.,THURSDAY,105
Skywest Airlines Inc.,THURSDAY,68
JetBlue Airways,THURSDAY,17
Hawaiian Airlines Inc.,THURSDAY,1
Frontier Airlines Inc.,THURSDAY,4
Delta Air Lines Inc.,THURSDAY,25
Atlantic Southeast Airlines,THURSDAY,137
American Eagle Airlines Inc.,THURSDAY,105
American Airlines Inc.,THURSDAY,87
Alaska Airlines Inc.,THURSDAY,5
Virgin America,WEDNESDAY,2
US Airways Inc.,WEDNESDAY,18
United Air Lines Inc.,WEDNESDAY,40
Spirit Air Lines,WEDNESDAY,16
Southwest Airlines Co.,WEDNESDAY,99
Skywest Airlines Inc.,WEDNESDAY,60
JetBlue Airways,WEDNESDAY,27
Hawaiian Airlines Inc.,WEDNESDAY,0
Frontier Airlines Inc.,WEDNESDAY,1
Delta Air Lines Inc.,WEDNESDAY,33
Atlantic Southeast Airlines,WEDNESDAY,101
American Eagle Airlines Inc.,WEDNESDAY,77
American Airlines Inc.,WEDNESDAY,51
Alaska Airlines Inc.,WEDNESDAY,5
Virgin America,TUESDAY,5
US Airways Inc.,TUESDAY,53
United Air Lines Inc.,TUESDAY,67
Spirit Air Lines,TUESDAY,15
Southwest Airlines Co.,TUESDAY,172
Skywest Airlines Inc.,TUESDAY,77
JetBlue Airways,TUESDAY,51
Hawaiian Airlines Inc.,TUESDAY,0
Frontier Airlines Inc.,TUESDAY,3
Delta Air Lines Inc.,TUESDAY,45
Atlantic Southeast Airlines,TUESDAY,127
American Eagle Airlines Inc.,TUESDAY,94
American Airlines Inc.,TUESDAY,49
Alaska Airlines Inc.,TUESDAY,1
Virgin America,MONDAY,7
US Airways Inc.,MONDAY,51
United Air Lines Inc.,MONDAY,101
Spirit Air Lines,MONDAY,23
Southwest Airlines Co.,MONDAY,177
Skywest Airlines Inc.,MONDAY,76
JetBlue Airways,MONDAY,71
Hawaiian Airlines Inc.,MONDAY,1
Frontier Airlines Inc.,MONDAY,4
Delta Air Lines Inc.,MONDAY,37
Atlantic Southeast Airlines,MONDAY,186
American Eagle Airlines Inc.,MONDAY,190
American Airlines Inc.,MONDAY,110
Alaska Airlines Inc.,MONDAY,4
Virgin America,SUNDAY,3
US Airways Inc.,SUNDAY,32
United Air Lines Inc.,SUNDAY,36
Spirit Air Lines,SUNDAY,12
Southwest Airlines Co.,SUNDAY,92
Skywest Airlines Inc.,SUNDAY,70
JetBlue Airways,SUNDAY,28
Hawaiian Airlines Inc.,SUNDAY,2
Frontier Airlines Inc.,SUNDAY,6
Delta Air Lines Inc.,SUNDAY,26
Atlantic Southeast Airlines,SUNDAY,132
American Eagle Airlines Inc.,SUNDAY,129
American Airlines Inc.,SUNDAY,88
Alaska Airlines Inc.,SUNDAY,3
